ProKey,ProName,PrimaryServiceCategory,HomeAreaKey,JoinDate,SkillTier,IsBackgroundVerified,IsActive,AvgRating,LifetimeJobs,LanguagesSpoken,OnboardingChannel,ChurnedDate
27,Rohit Singh,Pest Control,9,2026-07-26,Bronze,1,1,3.94,5,Hindi|English,Partner Agency,
28,Harish Rao,Electrician,17,2024-06-30,Gold,1,1,4.25,60,Kannada|English|Hindi|Tamil,Referral by Pro,
29,Dinesh Iyer,Plumber,2,2024-09-13,Bronze,1,1,3.97,67,Tamil|Kannada|English|Telugu,Walk In,
30,Mahadev Swamy,Plumber,10,2024-07-05,Bronze,1,1,3.81,7,Kannada|English|Hindi|Tamil,Online Signup,
31,Altaf Sheikh,Appliance Repair,6,2026-05-08,Gold,1,1,4.41,42,Urdu|Hindi|Kannada,Referral by Pro,
32,Mohammed Baig,Deep Cleaning,10,2024-12-10,Silver,1,1,4.24,119,Urdu|Hindi|Kannada|English,Walk In,
33,Wasim Sait,Deep Cleaning,3,2024-08-06,Gold,1,1,4.28,280,Urdu|Hindi|Kannada,Online Signup,
34,Rajesh Subramanian,Pest Control,5,2025-11-16,Gold,1,1,4.15,51,Tamil|Kannada|English|Telugu,Online Signup,
35,Chandrashekar Achar,Plumber,3,2026-03-06,Bronze,0,1,4.20,11,Kannada|English,Referral by Pro,
36,Sanjay Joshi,Plumber,13,2025-10-27,Bronze,1,1,4.21,37,Hindi|English|Kannada|Urdu,Partner Agency,
37,Venkatesh Hegde,Painter,7,2024-06-18,Silver,1,1,4.37,43,Kannada|English|Hindi|Tamil,Field Recruiter,
38,Srinu Chowdary,Painter,12,2025-02-27,Bronze,1,1,3.90,23,Telugu|Kannada|English,Online Signup,
39,Prabhu Nadar,Appliance Repair,14,2025-04-25,Bronze,0,1,4.02,20,Tamil|Kannada|English,Walk In,
40,Praveen Reddy,Appliance Repair,14,2025-07-10,Silver,1,0,4.18,25,Telugu|Kannada,Field Recruiter,2026-01-26
41,Dinesh Pillai,Carpenter,13,2024-09-05,Bronze,0,1,3.82,22,Tamil|Kannada,Online Signup,
42,Saravanan Krishnan,Electrician,5,2024-08-10,Silver,1,0,4.04,11,Tamil|Kannada,Field Recruiter,2025-11-08
43,Umesh Rao,Pest Control,6,2025-03-03,Silver,1,1,4.24,95,Kannada|English|Hindi|Tamil,Field Recruiter,
44,Srinu Yadav,Electrician,12,2026-03-07,Gold,1,1,4.51,54,Telugu|Kannada,Referral by Pro,
45,Sandeep Pandey,Carpenter,10,2026-06-17,Gold,1,1,4.20,19,Hindi|English|Kannada,Job Portal,
46,Imran Pasha,Painter,2,2026-07-23,Gold,1,1,4.34,8,Urdu|Hindi|Kannada|English,Field Recruiter,
47,Pankaj Singh,Carpenter,10,2025-09-24,Silver,1,1,4.21,26,Hindi|English|Kannada|Urdu,Referral by Pro,
48,Amit Verma,Electrician,2,2026-01-24,Silver,1,1,4.26,2,Hindi|English|Kannada|Urdu,Partner Agency,
49,Wasim Hussain,Pest Control,4,2025-10-19,Platinum,1,0,4.51,125,Urdu|Hindi|Kannada,Referral by Pro,2026-06-29
50,Girish Kulkarni,AC Service,9,2024-08-05,Silver,1,1,4.26,108,Kannada|English|Hindi|Tamil,Job Portal,
51,Ganesh Gowda,Carpenter,12,2026-01-14,Silver,1,1,4.10,14,Kannada|English,Partner Agency,
52,Zareena Ahmed,Deep Cleaning,15,2026-06-11,Silver,1,1,4.36,5,Urdu|Hindi,Field Recruiter,
53,Sridevi Rao,AC Service,16,2024-08-28,Platinum,1,1,4.45,378,Telugu|Kannada,Online Signup,
54,Asif Shariff,Electrician,10,2024-07-01,Silver,1,1,3.99,59,Urdu|Hindi,Field Recruiter,
55,Imran Ansari,Painter,4,2024-12-30,Gold,1,1,4.20,85,Urdu|Hindi|Kannada|English,Partner Agency,
56,Rohit Gupta,Electrician,16,2024-08-26,Gold,1,1,4.30,38,Hindi|English,Online Signup,
57,Chandrashekar Kumar,Appliance Repair,1,2024-11-27,Bronze,0,1,3.85,6,Kannada|English|Hindi,Referral by Pro,
58,Firoz Baig,Deep Cleaning,13,2026-05-19,Silver,1,1,4.28,1,Urdu|Hindi,Field Recruiter,
59,Anil Joshi,Electrician,1,2024-06-10,Silver,1,1,4.17,80,Hindi|English,Walk In,
60,Lokesh Gouda,AC Service,13,2024-10-07,Silver,0,1,4.44,19,Kannada|English|Hindi,Walk In,
61,Praveen Varma,Appliance Repair,10,2024-06-12,Gold,1,0,4.26,77,Telugu|Kannada|English,Walk In,2025-11-03
62,Ilango Natarajan,AC Service,16,2026-04-23,Bronze,1,1,4.05,0,Tamil|Kannada,Field Recruiter,
63,Shivakumar Achar,Carpenter,14,2026-02-03,Gold,1,1,4.43,17,Kannada|English|Hindi,Online Signup,
64,Vinay Gouda,AC Service,4,2025-06-24,Bronze,1,1,4.10,47,Kannada|English,Online Signup,
65,Shivakumar Rao,Plumber,10,2025-02-05,Bronze,1,1,3.66,45,Kannada|English,Field Recruiter,
66,Shankar Hegde,Electrician,9,2026-07-21,Silver,1,1,4.35,6,Kannada|English|Hindi|Tamil,Field Recruiter,
67,Vinay Poojary,Electrician,17,2024-12-09,Bronze,1,0,4.05,0,Kannada|English,Online Signup,2025-06-06
68,Karthik Chettiar,Plumber,2,2026-06-30,Gold,1,1,4.52,18,Tamil|Kannada|English|Telugu,Walk In,
69,Anil Thakur,AC Service,11,2025-11-25,Silver,1,1,4.36,2,Hindi|English|Kannada,Partner Agency,
70,Venkat Rao,Pest Control,5,2026-01-12,Bronze,1,1,3.84,2,Telugu|Kannada|English|Hindi,Field Recruiter,
71,Mahadev Gowda,Deep Cleaning,6,2026-06-13,Silver,1,1,4.09,12,Kannada|English|Hindi,Referral by Pro,
72,Nagendra Reddy,Appliance Repair,1,2026-05-27,Silver,0,1,4.21,15,Telugu|Kannada|English|Hindi,Online Signup,
73,Rakesh Joshi,Plumber,8,2026-06-16,Bronze,1,1,3.96,12,Hindi|English|Kannada|Urdu,Partner Agency,
74,Arun Natarajan,AC Service,6,2024-07-13,Silver,0,1,4.12,28,Tamil|Kannada|English|Telugu,Field Recruiter,
75,Irfan Shariff,AC Service,11,2025-10-19,Platinum,1,1,4.48,220,Urdu|Hindi|Kannada|English,Online Signup,
76,Mallikarjun Murthy,Plumber,4,2025-12-05,Platinum,1,1,4.31,116,Kannada|English|Hindi|Tamil,Online Signup,
77,Selvam Subramanian,Painter,3,2024-07-20,Silver,1,1,4.21,81,Tamil|Kannada|English,Field Recruiter,
78,Ajay Gupta,AC Service,14,2026-02-26,Gold,1,1,4.16,111,Hindi|English,Walk In,
79,Arun Raman,AC Service,3,2024-06-01,Silver,1,1,4.01,55,Tamil|Kannada|English,Job Portal,
80,Vikas Gupta,Pest Control,7,2026-04-12,Silver,1,1,4.25,24,Hindi|English,Field Recruiter,
81,Vikas Chauhan,Carpenter,7,2025-01-13,Platinum,1,1,4.44,450,Hindi|English,Online Signup,
82,Selvam Raman,Plumber,16,2024-12-23,Bronze,1,1,3.76,23,Tamil|Kannada|English|Telugu,Field Recruiter,
83,Dinesh Chettiar,Plumber,19,2026-02-04,Gold,1,1,4.21,52,Tamil|Kannada,Job Portal,
84,Bhaskar Naidu,Painter,20,2025-07-13,Bronze,0,0,4.20,16,Telugu|Kannada|English,Field Recruiter,2026-08-12
85,Umesh Shetty,Appliance Repair,2,2025-09-06,Gold,1,1,4.37,120,Kannada|English|Hindi|Tamil,Field Recruiter,
86,Bala Krishnan,Electrician,6,2026-02-19,Silver,1,1,4.28,4,Tamil|Kannada,Online Signup,
87,Shivakumar Hegde,AC Service,9,2026-05-06,Bronze,1,1,4.03,7,Kannada|English|Hindi|Tamil,Partner Agency,
88,Amit Gupta,Appliance Repair,18,2025-09-29,Platinum,1,1,4.31,94,Hindi|English|Kannada,Online Signup,
89,Meena Krishnan,Deep Cleaning,1,2024-07-18,Bronze,0,1,3.87,31,Tamil|Kannada,Referral by Pro,
90,Srinivas Gouda,Painter,15,2026-01-10,Gold,1,1,4.33,46,Kannada|English,Field Recruiter,
91,Chandra Chowdary,Electrician,5,2025-12-31,Gold,1,1,4.21,89,Telugu|Kannada|English|Hindi,Job Portal,
92,Basavaraj Swamy,Pest Control,5,2026-03-19,Silver,1,1,4.23,55,Kannada|English|Hindi|Tamil,Job Portal,
93,Pankaj Thakur,Pest Control,14,2024-11-16,Bronze,0,0,4.03,4,Hindi|English,Walk In,2025-06-02
94,Bhaskar Rao,Electrician,1,2024-07-31,Bronze,0,1,3.94,28,Telugu|Kannada|English,Job Portal,
95,Anjali Pandey,Deep Cleaning,14,2024-07-14,Silver,1,1,3.92,29,Hindi|English|Kannada|Urdu,Walk In,
96,Nadeem Qureshi,AC Service,3,2026-07-31,Silver,1,1,4.28,3,Urdu|Hindi|Kannada|English,Referral by Pro,
97,Mallikarjun Achar,AC Service,3,2025-08-26,Silver,1,1,4.24,17,Kannada|English|Hindi,Field Recruiter,
98,Sai Chowdary,Plumber,1,2024-06-01,Silver,1,1,4.25,41,Telugu|Kannada|English,Field Recruiter,
99,Harish Rao,Carpenter,5,2026-01-23,Platinum,1,1,4.49,81,Kannada|English,Walk In,
100,Sai Chowdary,Appliance Repair,3,2025-12-30,Silver,1,1,4.26,50,Telugu|Kannada|English|Hindi,Job Portal,
101,Sanjay Verma,Plumber,2,2026-05-19,Silver,1,1,4.10,14,Hindi|English|Kannada|Urdu,Online Signup,
102,Nasreen Sait,Deep Cleaning,14,2024-07-20,Silver,1,1,4.24,79,Urdu|Hindi|Kannada|English,Referral by Pro,
103,Sameer Sheikh,Electrician,16,2025-11-30,Platinum,1,1,4.40,73,Urdu|Hindi|Kannada,Online Signup,
104,Farida Hussain,Appliance Repair,1,2025-09-18,Platinum,1,1,4.43,335,Urdu|Hindi|Kannada,Job Portal,
105,Ravi Gowda,Carpenter,8,2024-09-26,Silver,1,1,4.13,19,Kannada|English,Partner Agency,
106,Rambabu Chowdary,Plumber,7,2026-06-29,Gold,1,1,4.44,40,Telugu|Kannada|English|Hindi,Field Recruiter,
107,Karthik Krishnan,Plumber,20,2024-08-28,Bronze,1,1,3.84,13,Tamil|Kannada|English,Field Recruiter,
108,Bhaskar Prasad,Pest Control,10,2024-10-15,Gold,1,1,4.33,187,Telugu|Kannada|English|Hindi,Online Signup,
109,Arun Raman,Pest Control,13,2025-04-11,Bronze,1,1,4.06,18,Tamil|Kannada|English|Telugu,Referral by Pro,
110,Rohit Joshi,Appliance Repair,6,2026-03-04,Bronze,0,1,4.04,1,Hindi|English|Kannada|Urdu,Field Recruiter,
111,Suresh Gouda,Pest Control,8,2024-10-18,Silver,1,1,4.26,84,Kannada|English,Partner Agency,
112,Asif Sait,Electrician,6,2024-08-18,Platinum,1,1,4.42,251,Urdu|Hindi|Kannada,Field Recruiter,
113,Shivakumar Naik,Electrician,5,2026-06-17,Bronze,0,1,4.16,1,Kannada|English,Job Portal,
114,Girish Achar,Electrician,6,2025-03-18,Silver,1,1,4.02,32,Kannada|English,Partner Agency,
115,Rambabu Rao,Electrician,3,2025-08-22,Silver,1,1,4.15,66,Telugu|Kannada|English,Job Portal,
116,Rekha Shetty,Electrician,17,2026-04-24,Bronze,1,1,4.14,2,Kannada|English|Hindi,Referral by Pro,
117,Manoj Singh,AC Service,3,2026-07-25,Bronze,1,1,4.05,0,Hindi|English|Kannada,Partner Agency,
118,Sridevi Chowdary,Deep Cleaning,15,2025-07-26,Silver,0,1,4.31,44,Telugu|Kannada|English|Hindi,Field Recruiter,
119,Deepak Sharma,Pest Control,2,2024-07-26,Silver,1,1,4.29,46,Hindi|English|Kannada|Urdu,Referral by Pro,
120,Jayanthi Gouda,Deep Cleaning,3,2026-01-27,Bronze,1,0,3.94,4,Kannada|English|Hindi,Referral by Pro,2026-07-11
121,Chandrashekar Hegde,AC Service,15,2025-06-26,Bronze,1,1,3.94,4,Kannada|English|Hindi|Tamil,Referral by Pro,
122,Deepak Thakur,Appliance Repair,7,2025-09-03,Gold,1,1,4.32,82,Hindi|English|Kannada,Walk In,
123,Irfan Baig,Pest Control,10,2025-11-13,Bronze,0,1,4.04,1,Urdu|Hindi|Kannada,Partner Agency,
124,Nagendra Prasad,Appliance Repair,8,2025-05-10,Gold,1,0,4.18,141,Telugu|Kannada|English|Hindi,Job Portal,2026-04-19
125,Rajanna Shetty,Carpenter,5,2025-09-23,Platinum,1,1,4.41,251,Kannada|English,Field Recruiter,
126,Anand Pillai,Carpenter,6,2026-07-09,Bronze,0,1,4.04,1,Tamil|Kannada,Referral by Pro,
127,Shankar Achar,Pest Control,2,2024-10-26,Silver,0,1,4.16,111,Kannada|English|Hindi|Tamil,Referral by Pro,
128,Mallikarjun Shetty,Plumber,14,2025-12-12,Silver,1,1,4.33,23,Kannada|English|Hindi,Online Signup,
129,Srinivas Achar,Plumber,4,2026-07-08,Gold,1,1,4.32,45,Kannada|English|Hindi,Online Signup,
130,Nagaraj Gouda,Electrician,7,2025-12-01,Silver,1,1,4.47,10,Kannada|English|Hindi,Referral by Pro,
131,Naveen Gowda,Painter,6,2026-02-03,Bronze,1,1,4.16,4,Kannada|English|Hindi,Referral by Pro,
132,Ajay Mishra,Electrician,3,2024-06-17,Silver,1,1,4.34,67,Hindi|English|Kannada,Referral by Pro,
133,Nagaraj Gowda,Plumber,3,2025-05-31,Silver,1,1,4.03,71,Kannada|English|Hindi,Field Recruiter,
134,Shankar Kulkarni,Plumber,18,2024-06-27,Silver,1,1,4.16,67,Kannada|English,Field Recruiter,
135,Shankar Naik,Appliance Repair,2,2025-02-22,Platinum,1,0,4.44,176,Kannada|English|Hindi|Tamil,Partner Agency,2026-07-14
136,Rakesh Joshi,Plumber,19,2026-02-06,Silver,1,1,4.21,6,Hindi|English,Walk In,
137,Chandra Reddy,Electrician,3,2025-08-13,Bronze,0,1,3.93,2,Telugu|Kannada|English|Hindi,Partner Agency,
138,Dharmendra Gupta,AC Service,1,2025-11-10,Silver,1,1,4.14,29,Hindi|English|Kannada|Urdu,Walk In,
139,Chandra Prasad,Pest Control,3,2025-12-16,Silver,1,1,4.30,11,Telugu|Kannada,Field Recruiter,
140,Rajesh Chettiar,Painter,6,2024-06-04,Bronze,1,1,3.95,5,Tamil|Kannada|English,Referral by Pro,
141,Nagaraj Achar,Carpenter,13,2024-10-14,Gold,1,1,4.35,126,Kannada|English,Field Recruiter,
142,Suresh Achar,Plumber,7,2024-11-20,Bronze,1,1,4.07,21,Kannada|English|Hindi,Field Recruiter,
143,Sai Prasad,Plumber,2,2024-08-03,Silver,1,1,4.16,80,Telugu|Kannada|English,Online Signup,
144,Bala Iyer,Carpenter,19,2026-01-16,Bronze,0,1,4.03,5,Tamil|Kannada|English|Telugu,Online Signup,
145,Nagendra Reddy,AC Service,16,2024-07-28,Gold,1,1,4.19,91,Telugu|Kannada|English|Hindi,Field Recruiter,
146,Ganesh Murthy,AC Service,12,2026-01-28,Platinum,1,1,4.43,144,Kannada|English|Hindi|Tamil,Partner Agency,
147,Vikas Thakur,Plumber,17,2024-10-28,Bronze,1,1,4.08,38,Hindi|English,Field Recruiter,
148,Vinay Bhat,Electrician,2,2024-09-02,Platinum,1,1,4.37,342,Kannada|English,Job Portal,
149,Venkatesh Gowda,Carpenter,1,2026-03-03,Bronze,0,1,4.03,8,Kannada|English|Hindi,Job Portal,
150,Chandrashekar Rao,Carpenter,1,2024-11-11,Bronze,1,1,3.97,22,Kannada|English,Online Signup,
151,Meera Yadav,Deep Cleaning,6,2025-02-27,Silver,1,0,4.24,15,Hindi|English|Kannada|Urdu,Partner Agency,2026-07-13
152,Ravi Swamy,Deep Cleaning,3,2025-08-03,Silver,1,1,4.08,40,Kannada|English,Referral by Pro,
153,Vignesh Sundaram,Appliance Repair,10,2024-09-03,Silver,1,1,4.29,27,Tamil|Kannada|English|Telugu,Partner Agency,
154,Rajanna Shetty,Carpenter,18,2025-08-10,Bronze,1,1,4.04,3,Kannada|English|Hindi,Field Recruiter,
155,Nagendra Varma,AC Service,10,2024-06-15,Bronze,1,1,4.22,6,Telugu|Kannada,Online Signup,
156,Bhuvana Sundaram,Deep Cleaning,1,2026-06-09,Bronze,1,1,3.85,3,Tamil|Kannada|English,Job Portal,
157,Mallikarjun Rao,AC Service,10,2025-03-10,Bronze,1,1,3.98,44,Kannada|English|Hindi,Walk In,
158,Rajkumar Gupta,Carpenter,14,2024-10-14,Silver,1,1,4.15,26,Hindi|English|Kannada|Urdu,Partner Agency,
159,Basavaraj Gowda,Deep Cleaning,9,2025-07-03,Silver,1,1,4.27,39,Kannada|English,Field Recruiter,
160,Nagendra Reddy,AC Service,7,2024-07-14,Bronze,1,1,4.13,4,Telugu|Kannada,Referral by Pro,
161,Venkatesh Poojary,Pest Control,7,2025-06-23,Bronze,1,0,4.14,6,Kannada|English,Field Recruiter,2026-03-27
162,Aruna Yadav,Painter,15,2024-11-23,Gold,1,1,4.27,62,Telugu|Kannada|English|Hindi,Job Portal,
163,Ilango Sundaram,Plumber,3,2026-02-12,Silver,1,1,4.34,41,Tamil|Kannada|English,Field Recruiter,
164,Vignesh Subramanian,Deep Cleaning,3,2024-12-31,Silver,1,1,4.20,83,Tamil|Kannada,Walk In,
165,Nagendra Reddy,Plumber,9,2024-06-20,Bronze,0,1,3.95,7,Telugu|Kannada|English,Partner Agency,
166,Rajesh Raman,AC Service,3,2025-12-27,Silver,0,1,4.15,98,Tamil|Kannada|English|Telugu,Field Recruiter,
167,Sanjay Yadav,Plumber,3,2024-07-11,Silver,1,1,4.11,23,Hindi|English,Job Portal,
168,Amit Chauhan,Appliance Repair,7,2026-07-12,Bronze,1,1,4.04,4,Hindi|English|Kannada|Urdu,Online Signup,
169,Manjunath Kulkarni,Appliance Repair,6,2025-10-12,Silver,1,1,4.23,25,Kannada|English,Field Recruiter,
170,Yogesh Murthy,AC Service,11,2026-02-10,Platinum,1,1,4.38,232,Kannada|English,Referral by Pro,
171,Sarita Pandey,Deep Cleaning,5,2024-10-29,Gold,1,1,4.38,155,Hindi|English,Referral by Pro,
172,Senthil Sundaram,Electrician,7,2025-10-30,Silver,1,1,3.98,32,Tamil|Kannada|English,Online Signup,
173,Srinivas Achar,Appliance Repair,5,2026-06-07,Silver,1,1,4.43,22,Kannada|English|Hindi,Field Recruiter,
174,Harish Achar,Plumber,14,2026-03-19,Silver,1,1,4.38,42,Kannada|English,Online Signup,
175,Praveen Yadav,Electrician,9,2026-04-19,Gold,0,1,4.21,38,Telugu|Kannada|English|Hindi,Field Recruiter,
176,Kiran Rao,Electrician,11,2026-07-13,Bronze,1,1,4.05,0,Kannada|English,Job Portal,
177,Rajanna Desai,AC Service,2,2026-06-17,Gold,1,1,4.40,34,Kannada|English,Walk In,
178,Manoj Thakur,AC Service,16,2025-04-17,Silver,1,1,4.13,60,Hindi|English|Kannada|Urdu,Field Recruiter,
179,Selvam Velu,AC Service,6,2025-02-14,Gold,1,1,4.41,125,Tamil|Kannada|English|Telugu,Referral by Pro,
180,Naveen Patil,Painter,15,2025-07-05,Silver,1,1,4.26,2,Kannada|English|Hindi|Tamil,Field Recruiter,
181,Firoz Baig,AC Service,8,2025-06-18,Gold,1,1,4.48,96,Urdu|Hindi|Kannada,Field Recruiter,
182,Anand Velu,AC Service,15,2026-06-23,Silver,1,1,4.23,5,Tamil|Kannada,Online Signup,
183,Kiran Patil,Painter,10,2025-05-05,Silver,0,1,4.27,14,Kannada|English,Referral by Pro,
184,Saravanan Pillai,Electrician,13,2024-12-20,Bronze,0,1,3.98,56,Tamil|Kannada,Partner Agency,
185,Asif Shariff,Deep Cleaning,2,2024-09-18,Silver,1,1,4.13,151,Urdu|Hindi|Kannada,Referral by Pro,
186,Nandini Achar,Deep Cleaning,7,2026-04-19,Gold,1,1,4.31,82,Kannada|English|Hindi|Tamil,Referral by Pro,
187,Lakshmi Poojary,Deep Cleaning,1,2025-04-24,Silver,1,0,4.12,19,Kannada|English|Hindi|Tamil,Walk In,2025-12-25
188,Salim Pasha,Deep Cleaning,6,2024-11-01,Gold,0,1,4.34,70,Urdu|Hindi|Kannada,Job Portal,
189,Bhaskar Naidu,Plumber,3,2025-08-10,Silver,1,1,4.25,21,Telugu|Kannada|English|Hindi,Referral by Pro,
190,Bala Iyer,Appliance Repair,14,2025-11-30,Bronze,1,1,4.04,4,Tamil|Kannada|English,Walk In,
191,Venkat Reddy,AC Service,2,2024-08-28,Gold,1,1,4.39,178,Telugu|Kannada,Field Recruiter,
192,Anand Sundaram,Plumber,16,2026-03-12,Bronze,1,1,3.92,17,Tamil|Kannada|English,Online Signup,
193,Manjunath Shetty,Plumber,16,2025-12-23,Bronze,1,1,3.57,5,Kannada|English,Online Signup,
194,Girish Hegde,Carpenter,1,2025-10-27,Gold,1,1,4.60,77,Kannada|English|Hindi|Tamil,Online Signup,
195,Shivakumar Kumar,Pest Control,6,2024-12-26,Platinum,1,1,4.41,213,Kannada|English|Hindi,Referral by Pro,
196,Sunitha Swamy,Deep Cleaning,16,2025-06-12,Silver,1,1,4.32,0,Kannada|English|Hindi|Tamil,Field Recruiter,
197,Bhaskar Yadav,Painter,4,2026-07-01,Gold,1,1,4.26,7,Telugu|Kannada|English|Hindi,Referral by Pro,
198,Ilango Natarajan,Plumber,7,2026-03-01,Silver,1,1,4.33,16,Tamil|Kannada,Online Signup,
199,Vijay Chauhan,Electrician,3,2024-07-31,Gold,1,1,4.52,70,Hindi|English|Kannada,Field Recruiter,
200,Sudhakar Chowdary,Electrician,4,2025-09-16,Bronze,1,1,4.03,12,Telugu|Kannada|English|Hindi,Job Portal,
201,Chandrashekar Swamy,Electrician,7,2025-01-22,Gold,1,1,4.40,286,Kannada|English|Hindi,Walk In,
202,Mahadev Hegde,Appliance Repair,19,2026-03-06,Gold,1,1,4.31,105,Kannada|English|Hindi|Tamil,Field Recruiter,
203,Kiran Naik,Pest Control,5,2024-12-13,Bronze,1,1,4.02,16,Kannada|English,Walk In,
204,Uma Raman,Deep Cleaning,1,2024-09-19,Silver,1,1,4.12,44,Tamil|Kannada|English|Telugu,Online Signup,
205,Javed Baig,Plumber,3,2025-12-12,Bronze,1,1,4.13,6,Urdu|Hindi|Kannada|English,Online Signup,
206,Nagaraj Swamy,Plumber,5,2025-04-04,Silver,0,0,4.24,28,Kannada|English|Hindi|Tamil,Referral by Pro,2025-08-28
207,Kalaivani Chettiar,Deep Cleaning,15,2024-12-30,Silver,1,1,4.01,79,Tamil|Kannada,Online Signup,
208,Mallikarjun Shetty,Appliance Repair,7,2024-10-13,Silver,1,1,4.07,111,Kannada|English|Hindi,Online Signup,
209,Sunil Thakur,AC Service,15,2025-12-07,Bronze,0,1,4.02,21,Hindi|English|Kannada|Urdu,Field Recruiter,
210,Altaf Khan,AC Service,4,2026-05-02,Silver,1,1,4.18,24,Urdu|Hindi|Kannada,Online Signup,
211,Sirisha Chowdary,Pest Control,7,2026-05-08,Gold,1,1,4.37,55,Telugu|Kannada|English|Hindi,Referral by Pro,
212,Manoj Mishra,Painter,8,2026-02-05,Bronze,1,1,3.89,10,Hindi|English|Kannada,Online Signup,
213,Asif Baig,Electrician,5,2025-12-10,Silver,1,1,4.40,18,Urdu|Hindi|Kannada,Partner Agency,
214,Bala Subramanian,Plumber,16,2025-03-01,Bronze,0,1,4.03,10,Tamil|Kannada|English,Online Signup,
215,Nadeem Pasha,Carpenter,2,2024-09-21,Silver,1,1,4.15,97,Urdu|Hindi|Kannada|English,Job Portal,
216,Muthu Raman,Plumber,13,2026-03-22,Silver,1,1,4.07,28,Tamil|Kannada|English|Telugu,Referral by Pro,
217,Praveen Rao,Pest Control,10,2024-10-04,Silver,1,1,4.25,117,Telugu|Kannada|English,Referral by Pro,
218,Basavaraj Patil,Appliance Repair,8,2024-06-03,Bronze,0,1,3.88,20,Kannada|English,Referral by Pro,
219,Chandrashekar Shetty,Carpenter,1,2025-12-11,Silver,1,1,4.07,25,Kannada|English|Hindi|Tamil,Field Recruiter,
220,Javed Ahmed,Appliance Repair,1,2024-06-19,Silver,1,0,4.43,52,Urdu|Hindi|Kannada,Field Recruiter,2025-09-03
221,Rakesh Chauhan,Plumber,19,2024-10-11,Silver,1,0,4.21,49,Hindi|English|Kannada|Urdu,Partner Agency,2025-11-18
222,Shobha Kulkarni,Deep Cleaning,14,2024-09-19,Silver,1,1,4.26,20,Kannada|English,Referral by Pro,
223,Bala Iyer,Pest Control,4,2025-12-31,Silver,1,1,4.11,20,Tamil|Kannada,Job Portal,
